BA_to_BA,Hurdle_$/MWh
AZPS_CISO,0.0
AZPS_IID,0.0
AZPS_WALC,0.0
AZPS_LDWP,0.0
AZPS_PACE,0.0
AZPS_TEPC,0.0
AZPS_SRP,0.0
AZPS_PNM,0.0
AZPS_WACM,0.0
AVA_GCPD,0.0
AVA_NWMT,0.0
AVA_BPAT,0.0
AVA_IPCO,0.0
AVA_CHPD,0.0
AVA_PACW,0.0
BANC_TIDC,0.0
BANC_BPAT,0.0
BANC_CISO,0.0
BPAT_GCPD,0.0
BPAT_NWMT,0.0
BPAT_NEVP,0.0
BPAT_PSEI,0.0
BPAT_CISO,0.0
BPAT_LDWP,0.0
BPAT_IPCO,0.0
BPAT_DOPD,0.0
BPAT_TPWR,0.0
BPAT_SCL,0.0
BPAT_BANC,0.0
BPAT_PGE,0.0
BPAT_CHPD,0.0
BPAT_PACW,0.0
BPAT_AVA,0.0
CHPD_DOPD,0.0
CHPD_BPAT,0.0
CHPD_PSEI,0.0
CHPD_AVA,0.0
CISO_NEVP,0.0
CISO_TIDC,0.0
CISO_IID,0.0
CISO_WALC,0.0
CISO_LDWP,0.0
CISO_BPAT,0.0
CISO_SRP,0.0
CISO_BANC,0.0
CISO_PACW,0.0
CISO_AZPS,0.0
DOPD_CHPD,0.0
DOPD_BPAT,0.0
EPE_PNM,0.0
EPE_TEPC,0.0
GCPD_PACW,0.0
GCPD_BPAT,0.0
GCPD_PSEI,0.0
GCPD_AVA,0.0
IID_WALC,0.0
IID_CISO,0.0
IID_AZPS,0.0
IPCO_NWMT,0.0
IPCO_NEVP,0.0
IPCO_PACE,0.0
IPCO_BPAT,0.0
IPCO_PACW,0.0
IPCO_AVA,0.0
LDWP_NEVP,0.0
LDWP_CISO,0.0
LDWP_WALC,0.0
LDWP_PACE,0.0
LDWP_BPAT,0.0
LDWP_AZPS,0.0
NEVP_CISO,0.0
NEVP_WALC,0.0
NEVP_LDWP,0.0
NEVP_PACE,0.0
NEVP_BPAT,0.0
NEVP_IPCO,0.0
NWMT_WAUW,0.0
NWMT_PACE,0.0
NWMT_BPAT,0.0
NWMT_IPCO,0.0
NWMT_AVA,0.0
PACE_NWMT,0.0
PACE_NEVP,0.0
PACE_LDWP,0.0
PACE_WACM,0.0
PACE_IPCO,0.0
PACE_PACW,0.0
PACE_AZPS,0.0
PACW_GCPD,0.0
PACW_CISO,0.0
PACW_PACE,0.0
PACW_IPCO,0.0
PACW_BPAT,0.0
PACW_PGE,0.0
PACW_AVA,0.0
PGE_PACW,0.0
PGE_BPAT,0.0
PNM_PSCO,0.0
PNM_SRP,0.0
PNM_TEPC,0.0
PNM_EPE,0.0
PNM_WACM,0.0
PNM_AZPS,0.0
PSCO_PNM,0.0
PSCO_WACM,0.0
PSEI_GCPD,0.0
PSEI_BPAT,0.0
PSEI_TPWR,0.0
PSEI_SCL,0.0
PSEI_CHPD,0.0
SCL_BPAT,0.0
SCL_PSEI,0.0
SRP_CISO,0.0
SRP_WALC,0.0
SRP_TEPC,0.0
SRP_PNM,0.0
SRP_AZPS,0.0
TEPC_WALC,0.0
TEPC_SRP,0.0
TEPC_EPE,0.0
TEPC_PNM,0.0
TEPC_AZPS,0.0
TIDC_BANC,0.0
TIDC_CISO,0.0
TPWR_BPAT,0.0
TPWR_PSEI,0.0
WACM_WAUW,0.0
WACM_WALC,0.0
WACM_PSCO,0.0
WACM_PACE,0.0
WACM_PNM,0.0
WACM_AZPS,0.0
WALC_NEVP,0.0
WALC_CISO,0.0
WALC_IID,0.0
WALC_LDWP,0.0
WALC_TEPC,0.0
WALC_SRP,0.0
WALC_WACM,0.0
WALC_AZPS,0.0
WAUW_NWMT,0.0
WAUW_WACM,0.0
