name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_260_6,ngcc,bus_233771,702.0,8.037,310.07,3.42,2106.0,33696.0,341.59,1.0,3.0
ID_260_7,ngcc,bus_233771,702.0,8.037,310.07,3.42,2106.0,33696.0,341.59,1.0,3.0
ID_286_U10,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_286_U11,geothermal,bus_204901,110.0,9.54,12.07,0.0,330.0,0.0,19.36,6.0,6.0
ID_286_U12,geothermal,bus_204901,110.0,9.54,12.07,0.0,330.0,0.0,19.36,6.0,6.0
ID_286_U13,geothermal,bus_204901,138.0,9.54,15.14,0.0,414.0,0.0,24.29,6.0,6.0
ID_286_U14,geothermal,bus_204901,113.0,9.54,12.4,0.0,339.0,0.0,19.89,6.0,6.0
ID_286_U16,geothermal,bus_204901,118.0,9.54,12.94,0.0,354.0,0.0,20.77,6.0,6.0
ID_286_U17,geothermal,bus_204901,118.0,9.54,12.94,0.0,354.0,0.0,20.77,6.0,6.0
ID_286_U18,geothermal,bus_204901,118.0,9.54,12.94,0.0,354.0,0.0,20.77,6.0,6.0
ID_286_U20,geothermal,bus_204901,118.0,9.54,12.94,0.0,354.0,0.0,20.77,6.0,6.0
ID_286_U5,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_286_U6,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_286_U7,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_286_U8,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_286_U9,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_299_1,geothermal,bus_500241,30.7,9.54,3.37,0.0,92.0,0.0,5.4,6.0,6.0
ID_299_2,geothermal,bus_500241,14.1,9.54,1.55,0.0,42.0,0.0,2.48,6.0,6.0
ID_301_ENCI,ngcc,bus_285491,18.0,8.037,7.95,3.42,54.0,864.0,8.76,1.0,3.0
ID_302_2,ngcc,bus_283651,110.0,8.037,48.59,3.42,330.0,5280.0,53.53,1.0,3.0
ID_302_3,ngcc,bus_283651,110.0,8.037,48.59,3.42,330.0,5280.0,53.53,1.0,3.0
ID_302_4,ngcc,bus_283651,306.0,8.037,135.16,3.42,918.0,14688.0,148.9,1.0,3.0
ID_302_5,ngcc,bus_283651,345.6,8.037,152.65,3.42,1037.0,16589.0,168.17,1.0,3.0
ID_302_GT1,ngcc,bus_283651,18.0,8.037,7.95,3.42,54.0,864.0,8.76,1.0,3.0
ID_302_ST1,ngcc,bus_283651,110.0,8.037,48.59,3.42,330.0,5280.0,53.53,1.0,3.0
ID_303_KEA3,ngcc,bus_284741,72.0,8.037,31.8,3.42,216.0,3456.0,35.04,1.0,3.0
ID_305_MRGT,ngcc,bus_284741,49.0,8.037,21.64,3.42,147.0,2352.0,23.84,1.0,3.0
ID_331_3,ngcc,bus_284011,333.0,8.037,147.09,3.42,999.0,15984.0,162.04,1.0,3.0
ID_331_4,ngcc,bus_284011,333.0,8.037,147.09,3.42,999.0,15984.0,162.04,1.0,3.0
ID_345_1,ngcc,bus_258301,218.0,8.037,96.29,3.42,654.0,10464.0,106.08,1.0,3.0
ID_345_2,ngcc,bus_258301,218.0,8.037,96.29,3.42,654.0,10464.0,106.08,1.0,3.0
ID_420_B3,ngcc,bus_256181,75.0,8.037,33.13,3.42,225.0,3600.0,36.49,1.0,3.0
ID_477_5,coal,bus_601941,191.7,9.75,86.57,6.95,575.0,24729.0,8.2,12.0,12.0
ID_492_5,coal,bus_606631,50.0,9.75,22.58,6.95,150.0,6450.0,2.14,12.0,12.0
ID_508_4,coal,bus_606631,25.0,9.75,11.29,6.95,75.0,3225.0,1.07,12.0,12.0
ID_508_5,ngcc,bus_606631,4.2,8.037,1.86,3.42,13.0,202.0,2.04,1.0,3.0
ID_508_6,coal,bus_606631,18.5,9.75,8.35,6.95,56.0,2386.0,0.79,12.0,12.0
ID_510_1,geothermal,bus_204901,78.0,9.54,8.56,0.0,234.0,0.0,13.73,6.0,6.0
ID_511_1,coal,bus_605771,3.7,9.75,1.67,6.95,11.0,477.0,0.16,12.0,12.0
ID_902_1,geothermal,bus_204901,55.0,9.54,6.03,0.0,165.0,0.0,9.68,6.0,6.0
ID_2324_4,coal,bus_303741,294.8,9.75,133.13,6.95,884.0,38029.0,12.62,12.0,12.0
ID_2451_2,coal,bus_532171,369.0,9.75,166.64,6.95,1107.0,47601.0,15.79,12.0,12.0
ID_2451_3,coal,bus_532171,555.0,9.75,250.64,6.95,1665.0,71595.0,23.75,12.0,12.0
ID_2453_5,ngcc,bus_530121,16.3,8.037,7.2,3.42,49.0,782.0,7.93,1.0,3.0
ID_3845_1,coal,bus_100251,729.9,9.75,329.62,6.95,2190.0,94157.0,31.24,12.0,12.0
ID_4941_NAV1,coal,bus_407871,803.1,9.75,362.68,6.95,2409.0,103600.0,34.37,12.0,12.0
ID_4941_NAV2,coal,bus_407871,803.1,9.75,362.68,6.95,2409.0,103600.0,34.37,12.0,12.0
ID_4941_NAV3,coal,bus_407871,803.1,9.75,362.68,6.95,2409.0,103600.0,34.37,12.0,12.0
