Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_260_6,233771,NG (Natural Gas),702.0,310.07,8.037
ID_260_7,233771,NG (Natural Gas),702.0,310.07,8.037
ID_286_U10,204901,GEO,55.0,6.03,9.54
ID_286_U11,204901,GEO,110.0,12.07,9.54
ID_286_U12,204901,GEO,110.0,12.07,9.54
ID_286_U13,204901,GEO,138.0,15.14,9.54
ID_286_U14,204901,GEO,113.0,12.4,9.54
ID_286_U16,204901,GEO,118.0,12.94,9.54
ID_286_U17,204901,GEO,118.0,12.94,9.54
ID_286_U18,204901,GEO,118.0,12.94,9.54
ID_286_U20,204901,GEO,118.0,12.94,9.54
ID_286_U5,204901,GEO,55.0,6.03,9.54
ID_286_U6,204901,GEO,55.0,6.03,9.54
ID_286_U7,204901,GEO,55.0,6.03,9.54
ID_286_U8,204901,GEO,55.0,6.03,9.54
ID_286_U9,204901,GEO,55.0,6.03,9.54
ID_299_1,500241,GEO,30.7,3.37,9.54
ID_299_2,500241,GEO,14.1,1.55,9.54
ID_301_ENCI,285491,NG (Natural Gas),18.0,7.95,8.037
ID_302_2,283651,NG (Natural Gas),110.0,48.59,8.037
ID_302_3,283651,NG (Natural Gas),110.0,48.59,8.037
ID_302_4,283651,NG (Natural Gas),306.0,135.16,8.037
ID_302_5,283651,NG (Natural Gas),345.6,152.65,8.037
ID_302_GT1,283651,NG (Natural Gas),18.0,7.95,8.037
ID_302_ST1,283651,NG (Natural Gas),110.0,48.59,8.037
ID_303_KEA3,284741,NG (Natural Gas),72.0,31.8,8.037
ID_305_MRGT,284741,NG (Natural Gas),49.0,21.64,8.037
ID_331_3,284011,NG (Natural Gas),333.0,147.09,8.037
ID_331_4,284011,NG (Natural Gas),333.0,147.09,8.037
ID_345_1,258301,NG (Natural Gas),218.0,96.29,8.037
ID_345_2,258301,NG (Natural Gas),218.0,96.29,8.037
ID_420_B3,256181,NG (Natural Gas),75.0,33.13,8.037
ID_477_5,601941,BIT (Bituminous Coal),191.7,86.57,9.75
ID_492_5,606631,BIT (Bituminous Coal),50.0,22.58,9.75
ID_508_4,606631,BIT (Bituminous Coal),25.0,11.29,9.75
ID_508_5,606631,NG (Natural Gas),4.2,1.86,8.037
ID_508_6,606631,BIT (Bituminous Coal),18.5,8.35,9.75
ID_510_1,204901,GEO,78.0,8.56,9.54
ID_511_1,605771,BIT (Bituminous Coal),3.7,1.67,9.75
ID_902_1,204901,GEO,55.0,6.03,9.54
ID_2324_4,303741,BIT (Bituminous Coal),294.8,133.13,9.75
ID_2451_2,532171,BIT (Bituminous Coal),369.0,166.64,9.75
ID_2451_3,532171,BIT (Bituminous Coal),555.0,250.64,9.75
ID_2453_5,530121,NG (Natural Gas),16.3,7.2,8.037
ID_3845_1,100251,BIT (Bituminous Coal),729.9,329.62,9.75
ID_4941_NAV1,407871,BIT (Bituminous Coal),803.1,362.68,9.75
ID_4941_NAV2,407871,BIT (Bituminous Coal),803.1,362.68,9.75
ID_4941_NAV3,407871,BIT (Bituminous Coal),803.1,362.68,9.75
ID_6076_1,772611,BIT (Bituminous Coal),358.0,161.67,9.75
ID_6076_2,772611,BIT (Bituminous Coal),358.0,161.67,9.75
ID_6089_1,770011,BIT (Bituminous Coal),50.0,22.58,9.75
ID_6516_IC1,606631,OIL,2.0,0.7,9.96
ID_7368_1,204901,GEO,55.0,6.03,9.54
ID_7368_2,204901,GEO,55.0,6.03,9.54
ID_7369_3,204901,GEO,55.0,6.03,9.54
ID_7369_4,204901,GEO,55.0,6.03,9.54
ID_10018_GEN2,300011,GEO,15.0,1.65,9.54
ID_10018_OEC2,300011,GEO,11.0,1.21,9.54
ID_10090_GEN1,256751,BIO,12.0,4.11,13.5
ID_10115_GEN1,285491,NG (Natural Gas),0.8,0.35,8.037
ID_10115_GEN2,285491,NG (Natural Gas),0.8,0.35,8.037
ID_10199_WFF1,204901,GEO,19.0,2.08,9.54
ID_10199_WFF2,204901,GEO,19.0,2.08,9.54
ID_10287_GEN1,741041,GEO,17.0,1.86,9.54
ID_10287_GEN2,741041,GEO,3.6,0.39,9.54
ID_10471_GEN1,257141,BIO,10.6,3.63,13.5
ID_10472_GEN3,255951,BIO,3.3,1.13,13.5
ID_10472_GEN4,255951,BIO,3.3,1.13,13.5
ID_10472_GEN5,255951,BIO,3.3,1.13,13.5
ID_10478_GEN1,262011,NG (Natural Gas),20.9,9.23,8.037
ID_10478_GEN2,262011,NG (Natural Gas),7.4,3.27,8.037
ID_10479_T101,232301,GEO,5.0,0.55,9.54
ID_10479_T102,232301,GEO,5.0,0.55,9.54
ID_10479_T103,232301,GEO,5.0,0.55,9.54
ID_10480_GEN1,232301,GEO,5.0,0.55,9.54
ID_10480_GEN2,232301,GEO,5.0,0.55,9.54
ID_10481_1,232301,GEO,5.0,0.55,9.54
ID_10481_2,232301,GEO,5.0,0.55,9.54
ID_10481_3,232301,GEO,5.0,0.55,9.54
ID_10481_T101,232301,GEO,5.0,0.55,9.54
ID_10481_T102,232301,GEO,5.0,0.55,9.54
ID_10481_T103,232301,GEO,5.0,0.55,9.54
ID_10502_GEN1,230541,BIO,23.0,7.88,13.5
ID_10631_GEN1,286671,GEO,35.8,3.93,9.54
ID_10632_GEN1,286671,GEO,35.8,3.93,9.54
ID_10634_GEN1,286671,GEO,35.8,3.93,9.54
ID_10635_GEN1,281221,NG (Natural Gas),47.0,20.76,8.037
ID_10748_U3J98,230171,BIO,1.0,0.34,13.5
ID_10748_U4J08,230171,BIO,1.4,0.48,13.5
ID_10759_GEN1,286671,GEO,53.9,5.91,9.54
ID_10763_GBU,400041,GEO,8.0,0.88,9.54
ID_10763_GEN1,400041,GEO,21.6,2.37,9.54
ID_10810_GEN1,285491,NG (Natural Gas),23.0,10.16,8.037
ID_10810_GEN2,285491,NG (Natural Gas),2.6,1.15,8.037
ID_10811_GEN1,285491,NG (Natural Gas),38.4,16.96,8.037
ID_10811_GEN2,285491,NG (Natural Gas),11.6,5.12,8.037
ID_10811_GEN3,285491,NG (Natural Gas),5.2,2.3,8.037
ID_10812_GEN1,285491,NG (Natural Gas),36.3,16.03,8.037
ID_10812_GEN2,285491,NG (Natural Gas),4.0,1.77,8.037
ID_10873_GEN1,261161,GEO,32.2,3.53,9.54
ID_10873_GEN2,261161,GEO,30.0,3.29,9.54
ID_10873_GEN3,261161,GEO,30.0,3.29,9.54
ID_10874_GEN4,261161,GEO,30.0,3.29,9.54
ID_10874_GEN5,261161,GEO,30.0,3.29,9.54
ID_10874_GEN6,261161,GEO,30.0,3.29,9.54
ID_10875_GEN7,261161,GEO,30.0,3.29,9.54
ID_10875_GEN8,261161,GEO,30.0,3.29,9.54
ID_10875_GEN9,261161,GEO,30.0,3.29,9.54
ID_10878_EE11,286671,GEO,10.0,1.1,9.54
ID_10879_GEN1,286671,GEO,11.5,1.26,9.54
ID_10879_GEN2,286671,GEO,5.0,0.55,9.54
ID_10879_GEN3,286671,GEO,3.5,0.38,9.54
ID_50066_UNT1,204901,GEO,88.2,9.68,9.54
ID_50066_UNT2,204901,GEO,88.2,9.68,9.54
ID_50112_GEN1,300011,BIO,20.0,6.85,13.5
ID_50112_GEN2,300011,BIO,7.5,2.57,13.5
ID_50210_GEN1,286671,GEO,30.1,3.3,9.54
ID_50210_GEN2,286671,GEO,9.5,1.04,9.54
ID_50544_GEN4,102281,BIO,3.0,1.03,13.5
ID_50654_GEN1,300011,GEO,14.6,1.6,9.54
ID_50654_OEC41,300011,GEO,5.5,0.6,9.54
ID_50762_OE11,400041,GEO,1.2,0.13,9.54
ID_50762_OE12,400041,GEO,1.2,0.13,9.54
ID_50762_OE14,400041,GEO,1.2,0.13,9.54
ID_50762_OE15,400041,GEO,1.2,0.13,9.54
ID_50762_OE21,400041,GEO,1.2,0.13,9.54
ID_50762_OE22,400041,GEO,1.2,0.13,9.54
ID_50762_OE24,400041,GEO,1.2,0.13,9.54
ID_50762_OE25,400041,GEO,1.2,0.13,9.54
ID_50763_OE11,300011,GEO,1.2,0.13,9.54
ID_50763_OE12,300011,GEO,1.2,0.13,9.54
ID_50763_OE13,300011,GEO,1.2,0.13,9.54
ID_50763_OE14,300011,GEO,1.2,0.13,9.54
ID_50763_OE21,300011,GEO,1.2,0.13,9.54
ID_50763_OE22,300011,GEO,1.2,0.13,9.54
ID_50763_OE23,300011,GEO,1.2,0.13,9.54
ID_50765_11,300011,GEO,11.8,1.29,9.54
ID_50765_12,300011,GEO,11.8,1.29,9.54
ID_50765_21,300011,GEO,11.8,1.29,9.54
ID_50765_22,300011,GEO,11.8,1.29,9.54
ID_50766_ITLU1,400041,GEO,12.0,1.32,9.54
ID_50766_ITLU2,400041,GEO,12.0,1.32,9.54
ID_50766_OE31,400041,GEO,1.2,0.13,9.54
ID_50766_OE32,400041,GEO,1.2,0.13,9.54
ID_50964_IND,300011,GEO,1.5,0.16,9.54
ID_50964_SYN,300011,GEO,1.5,0.16,9.54
ID_50997_GEN1,406911,NG (Natural Gas),3.0,1.33,8.037
ID_50997_GEN2,406911,NG (Natural Gas),3.0,1.33,8.037
ID_52015_GEN1,300011,GEO,60.5,6.64,9.54
ID_52115_GEN1,230541,NG (Natural Gas),2.8,1.24,8.037
ID_52138_DE31,300011,GEO,1.2,0.13,9.54
ID_52138_DE32,300011,GEO,1.2,0.13,9.54
ID_52158_GEN1,204901,GEO,12.5,1.37,9.54
ID_52158_GEN2,204901,GEO,12.5,1.37,9.54
ID_52174_OE11,300011,GEO,1.2,0.13,9.54
ID_52174_OE12,300011,GEO,1.2,0.13,9.54
ID_52174_OE13,300011,GEO,1.2,0.13,9.54
ID_52174_OE21,300011,GEO,1.5,0.16,9.54
ID_52174_OEC1,300011,GEO,3.5,0.38,9.54
ID_52174_OEC2,300011,GEO,3.5,0.38,9.54
ID_52174_OEC3,300011,GEO,3.5,0.38,9.54
ID_52174_OEC4,300011,GEO,3.5,0.38,9.54
ID_52174_OEC5,300011,GEO,3.5,0.38,9.54
ID_52174_OEC6,300011,GEO,3.5,0.38,9.54
ID_54038_GEN1,400041,GEO,21.6,2.37,9.54
ID_54111_GE10,400011,GEO,4.5,0.49,9.54
ID_54111_GE11,400011,GEO,4.5,0.49,9.54
ID_54111_GE12,400011,GEO,4.5,0.49,9.54
ID_54111_GE13,400011,GEO,16.0,1.76,9.54
ID_54111_GEN1,400011,GEO,3.5,0.38,9.54
ID_54111_GEN14,400011,GEO,16.0,1.76,9.54
ID_54111_GEN2,400011,GEO,3.5,0.38,9.54
ID_54111_GEN3,400011,GEO,3.5,0.38,9.54
ID_54111_GEN4,400011,GEO,3.5,0.38,9.54
ID_54111_GEN5,400011,GEO,3.5,0.38,9.54
ID_54111_GEN6,400011,GEO,3.5,0.38,9.54
ID_54111_GEN7,400011,GEO,4.5,0.49,9.54
ID_54111_GEN8,400011,GEO,4.5,0.49,9.54
